id	rateR	rateW
Aruba	78.9	134.873823
Andorra	94	80.70261809
Afghanistan	5.9	70.00491037
Angola	19.1	61.87329711
Albania	60.1	116.1572081
Andean Region
Arab World	36.86860156	109.5334045
United Arab Emirates	88	171.8737993
Argentina	59.9	159.0254543
Armenia	46.3	112.4206552
American Samoa
Antigua and Barbuda	63.4	127.0856254
Australia	83	106.8434974
Austria	80.6188	156.2304116
Azerbaijan	58.7	107.6134072
Burundi	1.3	24.96258806
Belgium	82.1702	110.9031799
Benin	4.9	93.25782193
Burkina Faso	4.4	66.37728295
Bangladesh	6.5	67.08453366
Bulgaria	53.0615	145.1876887
Bahrain	90	165.9088811
Bahamas, The	72	76.05187427
Bosnia and Herz.	67.9	91.173651
Belarus	54.17	118.786176
Belize	31.7	52.93763182
Bermuda	95.3	144.3197992
Bolivia	39.5	97.69945273
Brazil	51.6	135.3050481
Barbados	75	108.1027529
Brunei Darussalam	64.5	112.2144457
Bhutan	29.9	72.19831102
Botswana	15	160.6410528
Sub-Saharan Africa (IFC classification)
Central African Rep.	3.5	29.46657548
Canada	85.8	78.39781723
East Asia and the Pacific (IFC classification)
Central Europe and the Baltics	63.29097207	131.3601336
Europe and Central Asia (IFC classification)
Switzerland	86.7	133.79826
Channel Islands
Chile	66.5	134.2782809
China	45.8	88.70833462
Côte d'Ivoire	2.6	95.44605196
Latin America and the Caribbean (IFC classification)
Middle East and North Africa (IFC classification)
Cameroon	6.4	70.3904685
Congo, Rep.	6.6	104.7695043
Colombia	51.7	104.0845439
Comoros	6.5	47.28425115
Cabo Verde	37.5	100.1124481
Costa Rica	45.96	145.9716479
South Asia (IFC classification)
Caribbean small states	46.16957883	106.1560887
Cuba	25.70893209	17.71492741
Curacao		128.1821618
Cayman Islands	74.1	167.7693163
Cyprus	65.4548	95.17782689
Czech Rep.	74.1104	131.2534239
Germany	83.9614	119.0306009
Djibouti	9.5	27.96586676
Dominica	59	129.9598628
Denmark	94.6297	127.4727287
Dominican Republic	45.9	88.43350015
Algeria	16.5	102.0107812
East Asia & Pacific (developing only)	39.48217629	94.99585106
East Asia & Pacific (all income levels)	44.2784957	97.59695738
Europe & Central Asia (developing only)	45.90360319	111.515755
Europe & Central Asia (all income levels)	65.39154783	125.1788193
Ecuador	40.35368423	111.4620027
Egypt	49.56	121.507893
Euro area	75.81893486	121.5180819
Eritrea	0.9	5.602975462
Spain	71.5719	106.9052178
Estonia	80.0043	159.6607033
Ethiopia	1.9	27.25468539
European Union	75.49762317	123.9342823
